Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"A Comparative Study of Quantum Feature Maps and Quantum Classifiers for Heart Disease Prediction","Quantum machine learning methods, specifically QSVM with angle encoding, effectively predict heart disease with improved diagnostic reliability compared to classical methods.","Muhammad Minoar Hossain, Md. Hasibul Hassan Himal, Arslan Munir",2026,2,"This research introduces a quantum machine learning (QML) approach for predicting heart disease (HD). The method combines preprocessing of data with quantum feature map (QFM) and quantum classification techniques. In the method, clinical data of HD are preprocessed, and then features are optimized using principal component analysis (PCA). After that, the resulting features are encoded into quantum states with five different QFM methods, namely angle encoding (AE), amplitude encoding (AmE), basis encoding (BE), Pauli encoding (PE), and ZZ feature map (ZZFM). Finally, four quantum classifiers, such as quantum support vector machine (QSVM), quantum k-nearest neighbor (QKNN), quantum random forest (QRF), and variational quantum circuit (VQC), are evaluated to predict the HD from the encoded states. Experimental results show that QSVM with AE achieved the best performance, with an overall accuracy of 90.26%, specificity of 83.42%, sensitivity of 92.16%, precision of 88.89%, F1-score of 89.68%, and kappa value of 0.7608. These results are superior to those from classical state-of-the-art methods. This research finding suggests QML methods can capture complex nonlinear relationships in clinical data effectively and thus improve diagnostic reliability.","theoretical, modeling, or simulation study","AI","2","10.3390/ai7050180","https://consensus.app/papers/a-comparative-study-of-quantum-feature-maps-and-quantum-hossain-himal/9c66dbb5cf9d5db0ac4b8493df430c33/"
"Automated Detection of Alzheimer’s via Hybrid Classical Quantum Neural Networks","The hybrid classical-quantum machine learning model effectively detects Alzheimer's disease using MRI scans, improving diagnosis accuracy and speeding up clinical settings.","Tayyaba Shahwar, J. Zafar, Ahmad S. Almogren, H. Zafar, A. Rehman, Muhammad Shafiq, Habib Hamam",2022,79,"Deep Neural Networks have offered numerous innovative solutions to brain-related diseases including Alzheimer’s. However, there are still a few standpoints in terms of diagnosis and planning that can be transformed via quantum Machine Learning (QML). In this study, we present a hybrid classical–quantum machine learning model for the detection of Alzheimer’s using 6400 labeled MRI scans with two classes. Hybrid classical–quantum transfer learning is used, which makes it possible to optimally pre-process complex and high-dimensional data. Classical neural networks extract high-dimensional features and embed informative feature vectors into a quantum processor. We use resnet34 to extract features from the image and feed a 512-feature vector to our quantum variational circuit (QVC) to generate a four-feature vector for precise decision boundaries. Adam optimizer is used to exploit the adaptive learning rate corresponding to each parameter based on first- and second-order gradients. Furthermore, to validate the model, different quantum simulators (PennyLane, qiskit.aer and qiskit.basicaer) are used for the detection of the demented and non-demented images. The learning rate is set to 10−4 for and optimized quantum depth of six layers, resulting in a training accuracy of 99.1% and a classification accuracy of 97.2% for 20 epochs. The hybrid classical–quantum network significantly outperformed the classical network, as the classification accuracy achieved by the classical transfer learning model was 92%. Thus, a hybrid transfer-learning model is used for binary detection, in which a quantum circuit improves the performance of a pre-trained ResNet34 architecture. Therefore, this work offers a method for selecting an optimal approach for detecting Alzheimer’s disease. The proposed model not only allows for the automated detection of Alzheimer’s but would also speed up the process significantly in clinical settings.","theoretical, modeling, or simulation study","Electronics","2","10.3390/electronics11050721","https://consensus.app/papers/automated-detection-of-alzheimer%E2%80%99s-via-hybrid-classical-shahwar-zafar/5cdb52c86326538983bdc059543e2f42/"
"A Hybrid Quantum-Classical Approach for Multi-Class Skin Disease Classification Using a 4-Qubit Model","A hybrid quantum-classical framework using a 4 qubit quantum system can accurately classify skin diseases like Chickenpox, Measles, Monkeypox, and Normal, achieving 70.13% test accuracy on 20% of the dataset.","Aravinda C Ⅴ, Emerson Raja Joseph, S. Alasmari",2025,11,"Quantum machine learning (QML) presents a promising avenue for addressing complex classification challenges, yet its application in medical imaging remains largely unexplored. This work introduces a hybrid quantum-classical framework designed to classify skin diseases, Chickenpox, Measles, Monkeypox, and Normal, using a 4 qubit quantum system. The framework integrates a Quantum Convolutional Neural Network (QCNN) for feature extraction and a Variational Quantum Classifier (VQC) for classification, processing a dataset of 770 images with significant class imbalance. We employ a class-weighted loss function with weights $w_{y_{i}} = [{3.0, 3.5, 0.6, 0.4}]$ to address this imbalance, ensuring balanced representation across all classes. The model is optimized using Simultaneous Perturbation Stochastic Approximation (SPSA) over 150 iterations, achieving a test accuracy 70.13% on a subset of 154 images, representing 20% of the dataset. This marks a substantial improvement over both a random baseline of 25% and a prior run that achieved 37.66% accuracy, which was skewed toward the majority class. Principal Component Analysis (PCA) reduces image features to a 4-dimensional representation, enabling compatibility with the quantum system. The QCNN extracts these features, while the VQC performs classification based on measurements from 1024 shots on the QASM simulator. To ensure practical reusability, the trained model, including quantum circuits, optimized parameters, and PCA transformations, is saved for future deployment. Validation on a separate set of 24 samples (6 per class) yields 70.83% accuracy (17 out of 24 correct predictions), demonstrating the model’s generalization capabilities. While the performance falls short of classical benchmarks, this study establishes the feasibility of QML with minimal qubits, paving the way for quantum driven diagnostics in resource constrained environments.","","IEEE Access","1","10.1109/access.2025.3581030","https://consensus.app/papers/a-hybrid-quantumclassical-approach-for-multiclass-skin-%E2%85%B4-joseph/185f4f74e4115892b700babc913a2f81/"
"A Differentiable Hybrid Classical-Quantum Circuit with PCA Feature Compression for Medical Disease Classification in Healthcare Datasets.","The proposed quantum circuit with PCA feature compression effectively extracts relevant features and handles medical disease classification tasks, demonstrating strong potential for practical healthcare applications.","S. Megala, P. Ragukumar, Neelu Khare",2026,0,"Machine Learning (ML) approaches have achieved high performance by discovering underlying data patterns and structures. Diabetes is a life-threatening disease that affects vital organs such as the eyes (retinopathy), nerves (neuropathy), heart and kidneys (nephropathy). Although various ML models have been proposed for diabetes prediction, most struggle to effectively handle large, multi-feature datasets. Quantum Machine Learning (QML), which integrates quantum computing principles with machine learning, offers a promising solution for complex classification tasks. However, effective feature extraction remains challenging on current NISQ (Noisy Intermediate-Scale Quantum) devices due to hardware limitations. In this study, a Differentiable Quantum Circuit with Classical PCA Feature Compression is proposed for medical disease classification using a SMOTE-ENN resampled dataset and a penalized binary cross-entropy cost function to enhance quantum learning. The efficient ansatz designed in this work plays a crucial role in determining the model’s learning capability and feature extraction performance. To evaluate the robustness and generalization capability of the proposed model, three categories of medical datasets are considered. The primary focus is on diabetes classification using four diabetes-related datasets, while additional experiments are conducted on liver disease and chronic kidney disease datasets to assess the adaptability of the proposed framework across multiple healthcare domains. Six datasets from UCI, Mendeley and IEEE repositories are used: PIMA Indian Diabetes, Type-2 Diabetes, a private RTML Insulin dataset, Indian Liver Patient Dataset (ILPD), Early-Stage Diabetes Risk Prediction Dataset (ESDRPD) and Chronic Kidney Disease (CKD). The proposed quantum model is simulated using the PennyLane quantum simulator and compared against preprocessed classical classifiers. Experimental results demonstrate remarkable efficiency and rapid convergence within 10--20 epochs, achieving high F1-scores of 96.15% (PIMA), 97.50% (Type-2), 98.04% (RTML), 89.47% (ILPD), 98.66% (ESDRPD) and 97.84% (CKD). These findings demonstrate that the proposed quantum model efficiently extracts relevant features and effectively handles medical disease classification tasks, highlighting its strong potential for practical healthcare applications.","theoretical, modeling, or simulation study","Journal of Pioneering Medical Sciences","","10.47310/jpms2026150628","https://consensus.app/papers/a-differentiable-hybrid-classicalquantum-circuit-with-megala-ragukumar/ed2a933279f15c0fbb5b6635a2636d01/"
"Quantum enhanced machine learning for medical image analysis: a hybrid approach","Quantum-enhanced machine learning (QML) can improve efficiency, robustness, and scalability in medical image analysis, particularly in resource-constrained or data-limited settings.","Soha Rawas, D. Alsaeed",2026,3,"
 
 This study investigates the integration of quantum-enhanced machine learning (QML) into medical image analysis, focusing on classification and feature extraction tasks. It aims to evaluate whether hybrid quantum-classical models can overcome the limitations of traditional machine learning in handling high-dimensional, clinically relevant imaging data.
 
 
 
 Hybrid architectures combining classical preprocessing with quantum components, specifically variational quantum circuits (VQCs) and quantum kernel methods, were developed and implemented in simulated quantum environments using Qiskit and PennyLane on Google Colab. Publicly available datasets (ChestX-ray14, Brain Tumor MRI and CT Hemorrhage) were preprocessed and encoded into quantum states. Model performance was evaluated against classical baselines (MLP and CNN) using accuracy, precision, recall, F1-score, convergence speed and trainable parameters.
 
 
 
 Quantum-enhanced models achieved competitive or superior performance compared to classical models with significantly fewer trainable parameters and faster convergence. The Quantum Kernel SVM demonstrated the highest precision (89.1%) and F1-score (88.5%) using only 8 parameters, while VQC models converged up to 2× faster than classical baselines. These results highlight the potential of QML to improve efficiency, robustness and scalability in diagnostic imaging workflows, particularly in resource-constrained or data-limited settings.
 
 
 
 The study relies on simulated quantum environments, which do not capture hardware noise or qubit limitations. Future work will extend to real quantum devices, multimodal data integration and interpretability strategies.
 
 
 
 Quantum kernel methods and lightweight VQC architectures enable faster, resource-efficient diagnostic modeling, making them suitable for clinical environments with limited computational capacity or time-sensitive decision-making needs.
 
 
 
 Improving the efficiency and accessibility of medical image analysis has the potential to support faster diagnosis and enhance healthcare delivery, particularly in underserved or resource-limited regions.
 
 
 
 This study provides a practical evaluation of hybrid quantum-classical models applied to multiple real medical imaging datasets in a reproducible simulated environment. It offers an early-stage framework demonstrating how QML techniques can be integrated into existing machine learning pipelines for medical image analysis.
","theoretical, modeling, or simulation study","Applied Computing and Informatics","2","10.1108/aci-10-2025-0448","https://consensus.app/papers/quantum-enhanced-machine-learning-for-medical-image-rawas-alsaeed/aceed9e0706752b3b0eb8a1f347e6299/"
"An enhanced hybrid deep learning-quantum variational classifier framework for large-scale data analytics","The enhanced hybrid deep learning-quantum variational classifier framework achieves 97.28% accuracy, 97.16% precision, 96.65% recall, and a 97.38% F1-score in large-scale healthcare data analytics.","Yadlapti Suresh, Venu Gopal Gaddam, CH.N.V. Jyothirmai, Rokkam Veera Venkata Nagendra Bheema Rao, Sreenivasulu Bolla, A. Radhika",2026,0,"The rapid expansion of clinical data in modern healthcare requires analytical systems capable of uncovering intricate patterns and supporting accurate diagnostic decisions. Quantum machine learning (QML) offers significant potential for modeling higher-order feature interactions and accelerating computation beyond classical approaches. This paper introduces an improved hybrid architecture that fuses an inception-based attentional VGG (IAV) network with a quantum variational classifier (QVC) constructed using parameterized quantum circuits (PQCs). The framework begins with min-max normalization to stabilize heterogeneous clinical attributes and enhance training convergence. Deep discriminative features are then extracted through the IAV model, followed by quantum-driven classification using variational layers optimized by classical routines. The MIMIC-III clinical dataset is employed to validate the proposed system on large-scale healthcare records. Performance is measured using accuracy, precision, recall, and F1-score. The enhanced hybrid model achieves 97.28% accuracy, 97.16% precision, 96.65% recall, and a 97.38% F1-score, surpassing established methods including support vector machine (SVM) (89.23%), quantum support vector machine (QSVM) (90.13%), and QVKSVM (97.34%). The findings confirm that integrating deep learning with quantum variational optimization strengthens scalability, reduces computational overhead, and establishes a powerful foundation for next-generation healthcare analytics.","","International Journal of Power Electronics and Drive Systems (IJPEDS)","","10.11591/ijpeds.v17.i2.pp1522-1532","https://consensus.app/papers/an-enhanced-hybrid-deep-learningquantum-variational-suresh-gaddam/ef189efe75585289926946a48b579bc9/"
"Heart Disease Prediction Using Hybrid Quantum-Classical Machine Learning Models","The hybrid quantum-classical ensemble meta-classifier achieves superior performance in heart disease prediction, outperforming standalone classical models and highlighting the potential of quantum feature spaces in healthcare prediction systems.","P. T, Vishwachetan D, R. S.",2026,0,"Cardiovascular diseases remain the leading cause of mortality globally, necessitating accurate diagnostic tools for early detection and intervention. This paper presents a comprehensive comparative and hybrid analysis of quantum and classical machine learning models for heart disease prediction using the UCI Cleveland dataset. We implement classical baseline models including Logistic Regression, Random Forest, Support Vector Machine (SVM), and XGBoost, alongside quantum models: Quantum Support Vector Machine (QSVM) with statevector fidelity kernels, Variational Quantum Classifier (VQC) with data-reuploading ansätze, and Quantum Convolutional Neural Networks (QCNN) with parametric pooling. The primary contribution is the development of a hybrid quantum classical ensemble meta-classifier that fuses predictions from all classical and quantum learners using XGBoost as a meta learner. Experiments conducted in Google Colab using Qiskit 1.2+ and Penny Lane 0.36+ demonstrate that the proposed hybrid ensemble achieves superior performance with 98.33accuracy, 100perfect AUC-ROC of 1.0, substantially outperforming standalone classical models (best: 88.33(best: 80hybrid model’s superiority. These results underscore the potential of quantum feature spaces combined with classical decision boundaries in healthcare prediction systems, and demonstrate the immediate utility of hybrid quantum-classical integration in medical diagnostics on near-term quantum hardware.","","2026 4th International Conference on Knowledge Engineering and Communication Systems (ICKECS)","","10.1109/ickecs70176.2026.11527728","https://consensus.app/papers/heart-disease-prediction-using-hybrid-quantumclassical-t-d/999aa8f1062a519cbdaaadd765c1097e/"
"Explainable Heart Disease Prediction Using Ensemble-Quantum Machine Learning Approach","Quantum machine learning classifiers, particularly the Quantum Support Vector Classifier, perform better than classical ones in predicting heart disease risk, with the bagging ensemble learning technique improving prediction accuracy.","Ghada Abdulsalam, Souham Meshoul, Hadil Shaiba",2022,90,"Nowadays, quantum machine learning is attracting great interest in a wide range of fields due to its potential superior performance and capabilities. The massive increase in computational capacity and speed of quantum computers can lead to a quantum leap in the healthcare field. Heart disease seriously threatens human health since it is the leading cause of death worldwide. Quantum machine learning methods can propose effective solutions to predict heart disease and aid in early diagnosis. In this study, an ensemble machine learning model based on quantum machine learning classifiers is proposed to predict the risk of heart disease. The proposed model is a bagging ensemble learning model where a quantum support vector classifier was used as a base classifier. Furthermore, in order to make the model’s outcomes more explainable, the importance of every single feature in the prediction is computed and visualized using SHapley Additive exPlanations (SHAP) framework. In the experimental study, other stand-alone quantum classifiers, namely, Quantum Support Vector Classifier (QSVC), Quantum Neural Network (QNN), and Variational Quantum Classifier (VQC) are applied and compared with classical machine learning classifiers such as Support Vector Machine (SVM), and Artificial Neural Network (ANN). The experimental results on the Cleveland dataset reveal the superiority of QSVC compared to the others, which explains its use in the proposed bagging model. The Bagging-QSVC model outperforms all aforementioned classifiers with an accuracy of 90.16% while showing great competitiveness compared to some state-of-the-art models using the same dataset. The results of the study indicate that quantum machine learning classifiers perform better than classical machine learning classifiers in predicting heart disease. In addition, the study reveals that the bagging ensemble learning technique is effective in improving the prediction accuracy of quantum classifiers.","theoretical, modeling, or simulation study","Intell. Autom. Soft Comput.","","10.32604/iasc.2023.032262","https://consensus.app/papers/explainable-heart-disease-prediction-using-abdulsalam-meshoul/249aa318a2c6535da208e559c5ce553b/"
"Hybrid Quantum Machine Learning Approach for Heart Disease Prediction","Quantum Machine Learning (QML) can effectively predict heart disease with up to 99.02% accuracy, outperforming conventional models in speed and accuracy.","Harinder Kaur, Sarabjit Kaur, Manjot Kaur, Nilesh M. Shelke",2026,0,"Heart disease is common these days hence the data is increasing in volume with a fast pace. Traditional machine learning methods are generally applied for diagnostic prediction. However they are not able to detect quantum level feature correlation in the data. Quantum Machine Learning (QML) came out as an effective approach to tackle these issues. This paper explores the quantum approaches for heart disease detection. Our proposed method follows a two-phase structure. In the first phase, we use variational quantum circuits to select the relevant clinical features. This quantum-based feature selection technique is tested on Cleveland heart dataset and shows effective results in identifying key health indicators. In the second stage, we develop a hybrid quantumclassical classifier by combining quantum data encoding with a classical neural network. Although this model uses quantumprocessed inputs, gradient descent and other traditional optimization techniques are used for training. By using the quantum approach, our system outperforms conventional models in terms of speed and accuracy, achieving up to 99.02% accuracy and it exhibits high precision and recall demonstrating its dependability in real-world situations. We also compare our proposed model with other recent studies. Overall, this study shows that QML has the potential to contribute to healthcare diagnostics. It offers a way to build more efficient, scalable, and understandable systems even when data is limited.","","2026 International Conference on Connected Intelligence for Industrial Applications (CI2A)","","10.1109/ci2a69097.2026.11576818","https://consensus.app/papers/hybrid-quantum-machine-learning-approach-for-heart-kaur-kaur/4b7b1c549e825f0eb209de9cbf6ffcb0/"
"VQ‐Rice: Integrating Variational Quantum Models for Intelligent Rice Disease Classification","The Quantum Variational Rice Disease Network (QVRDN) achieves 97.8% classification accuracy, faster inference times, and greater resilience to noise and limited data compared to classical models in precision agriculture.","D. Verma, Jitendra K. Mishra, Ankit Kumar, A. Saudagar, S. Mahato",2025,2,"This study presents a novel hybrid quantum‐classical framework for rice disease diagnosis, leveraging variational quantum circuits (VQCs) to address the limitations of traditional and deep learning models in precision agriculture. The proposed Quantum Variational Rice Disease Network (QVRDN) integrates quantum feature encoding, variational quantum processing, and adaptive optimization to achieve superior classification accuracy, efficiency, and robustness. Using a curated dataset of 3000 annotated rice leaf images spanning major disease categories, the QVRDN framework applies dimensionality reduction and quantum angle encoding to transform the image features into quantum states, which are then processed by parameterized quantum circuits for disease classification. Experimental results demonstrate that QVRDN outperforms classical models, including SVM, random forest, CNN, and ResNet50‐achieving, the highest accuracy of 97.8%, faster inference times, and greater resilience to noise and limited data. The compact design of the framework enables edge deployment without GPU dependency, making it suitable for resource‐constrained agricultural environments. By demonstrating the feasibility and advantages of quantum machine learning in crop health monitoring, this study establishes a foundation for quantum‐enhanced, data‐efficient agricultural diagnostics and paves the way for future advances in intelligent, field‐ready quantum geoinformatics systems.","theoretical, modeling, or simulation study","International Journal of Intelligent Systems","1","10.1155/int/9911441","https://consensus.app/papers/vq%E2%80%90rice-integrating-variational-quantum-models-for-verma-mishra/a1e33697caf751a3849a577fab3038aa/"
